6,WSA_INVALID_HANDLE,Specified event object handle is invalid
8,WSA_NOT_ENOUGH_MEMORY,Insufficient memory available
87,WSA_INVALID_PARAMETER,One or more parameters are invalid
995,WSA_OPERATION_ABORTED,Overlapped operation aborted
996,WSA_IO_INCOMPLETE,Overlapped I/O event object not in signaled state
997,WSA_IO_PENDING,Overlapped operations will complete later
10004,WSAEINTR,Interrupted function call
10009,WSAEBADF,File handle is not valid
10013,WSAEACCES,Permission denied
10014,WSAEFAULT,Bad address
10022,WSAEINVAL,Invalid argument
10024,WSAEMFILE,Too many open files
10035,WSAEWOULDBLOCK,Resource temporarily unavailable
10036,WSAEINPROGRESS,Operation now in progress
10037,WSAEALREADY,Operation already in progress
10038,WSAENOTSOCK,Socket operation on nonsocket
10039,WSAEDESTADDRREQ,Destination address required
10040,WSAEMSGSIZE,Message too long
10041,WSAEPROTOTYPE,Protocol wrong type for socket
10042,WSAENOPROTOOPT,Bad protocol option
10043,WSAEPROTONOSUPPORT,Protocol not supported
10044,WSAESOCKTNOSUPPORT,Socket type not supported
10045,WSAEOPNOTSUPP,Operation not supported
10046,WSAEPFNOSUPPORT,Protocol family not supported
10047,WSAEAFNOSUPPORT,Address family not supported by protocol family
10048,WSAEADDRINUSE,Address already in use
10049,WSAEADDRNOTAVAIL,Cannot assign requested address
10050,WSAENETDOWN,Network is down
10051,WSAENETUNREACH,Network is unreachable
10052,WSAENETRESET,Network dropped connection on reset
10053,WSAECONNABORTED,Software caused connection abort
10054,WSAECONNRESET,Connection reset by peer
10055,WSAENOBUFS,No buffer space available
10056,WSAEISCONN,Socket is already connected
10057,WSAENOTCONN,Socket is not connected
10058,WSAESHUTDOWN,Cannot send after socket shutdown
10059,WSAETOOMANYREFS,Too many references
10060,WSAETIMEDOUT,Connection timed out
10061,WSAECONNREFUSED,Connection refused
10062,WSAELP,Cannot translate name
10063,WSAENETOOLONG,Name too long
10064,WSAEHOSTDOWN,Host is down
10065,WSAEHTUNREACH,No route to host
10066,WSAENEMPTY,Directory not empty
10067,WSAEPROCLIM,Too many processes
10068,WSAEURS,User quota exceeded
10069,WSAEDQUOT,Disk quota exceeded
10070,WSAESLE,Stale file handle reference
10071,WSAEREMOTE,Item is remote
10091,WSASYOTREADY,Network subsystem is unavailable
10092,WSAVERNOTSUPPORTED,Winsock dll version out of range
10093,WSANOTINITIALISED,Successful WSAStartup not yet performed
10101,WSAEDISCON,Graceful shutdown in progress
10102,SAENOMORE,No more results
10103,SAECANCELLED,Call has been canceled
10101,SAEINVALIDPROCTABLE,Procedure call table is invalid
10105,WSAEINVALIDPROVIDER,Service provider is invalid
10106,WSAEPVIDERFAILEDINIT,Service provider failed to initialize
10107,WSASYALLFAILURE,System call failure
10108,SASERVICE_NOT_FOUND,Service not found
10109,WSATYPE_NOT_FOUND,Class type not found
10110,WSA_E_NO_MORE,No more results
10111,WSA_E_CANCELLED,Call was canceled
10112,WSAEREFUSED,Database query was refused
11001,WSAHOST_NOT_FOUND,Host not found
11002,WSATRY_AGAIN,Nonauthoritative host not found
11003,SANO_RECOVERY,This is a nonrecoverable error
11004,SANO_DATA,Valid name  no data record of requested type
11005,WSA_QOS_RECEIVERS,QoS receivers
11006,WSA_QOS_SENDERS,QoS senders
11007,WSA_QOS_NO_SENDERS,No QoS senders
11008,WSA_QOS_NO_RECEIVERS,QoS no receivers
11009,WSA_Q_REQUEST_CONFIRMED,QoS request confirmed
11010,WSA_Q_ADMISSION_FAILURE,QoS admission error
11011,WSA_Q_POLICY_FAILURE,QoS policy failure
11012,WSA_Q_BAD_STYLE,QoS bad style
11013,WSA_Q_BAD_OBJECT,QoS bad object
11014,WSA_QOS_TRAFFIC_CTRL_ERROR,QoS traffic control error
11015,WSA_QOS_GENERIC_ERROR,QoS generic error
11016,WSA_QOS_ESERVICETYPE,QoS service type error
11017,WSA_QOS_EFLOWSPEC,QoS flowspec error
11018,WSA_QOS_EPROVSPECBUF,Invalid QoS provider buffer
11019,WSA_QOS_EFILTERSTYLE,Invalid QoS filter style
11020,WSA_QOS_EFILTERTYPE,Invalid QoS filter type
11021,WSA_QOS_EFILTERCOUNT,Incorrect QoS filter count
11022,WSA_QOS_EOBJLENGTH,Invalid QoS object length
11023,WSA_QOS_EFLOWCOUNT,Incorrect QoS flow count
11024,WSA_QOS_EUNKOWNPSOBJ,Unrecognized QoS object
11025,WSA_QOS_EPOLICYOBJ,Invalid QoS policy object
11026,WSA_QOS_EFLOWDESC,Invalid QoS flow descriptor
11027,WSA_QOS_EPSFLOWSPEC,Invalid QoS provider-specific flowspec
11028,WSA_QOS_EPSFILTERSPEC,Invalid QoS provider-specific filterspec
11029,WSA_QOS_ESDMODEOBJ,Invalid QoS shape discard mode object
11030,WSA_QOS_ESHAPERATEOBJ,Invalid QoS shaping rate object
11031,WSA_QOS_RESERVED_PETYPE,Reserved policy QoS element type
